longitude,latitude,slope_degrees,elevation_m,event_datetime,temperature_2m_C,soil_temperature_level_1_C,soil_temperature_level_2_C,precip_hourly_mm,precip_3h_mm,precip_1d_mm,precip_3d_mm,landslide
9.4,45.9835,29.209844601086576,725.392333984375,2013-12-26 00:00:00,1.9672500000000357,1.2644999999999982,1.2134599999999978,4.011661,12.27013400000004,66.8775963,86.42867147417599,1
8.6944,44.4099,44.560676226433706,39.007781982421875,2016-03-19 00:00:00,,,,,,,,1
9.6947,46.6723,29.48133115489776,1161.6959228515625,2014-08-13 12:30:00,8.154930000000036,8.646020000000021,8.825460000000021,3.2596737,9.302824700000013,34.018382408,51.05549080293,1
8.0499,45.576,24.96933262867289,484.0133972167969,2014-11-12 09:00:00,7.615200000000016,7.435540000000003,7.608969999999999,2.9686317,9.827800100000006,82.6501401,133.834760684,1
8.5282,44.4197,15.30330636641626,831.2889404296875,2010-10-31 23:00:00,8.402000000000044,9.003440000000012,9.942700000000002,3.8903803,9.18117160000001,62.436239778,86.6318697708636,1
12.2186,46.4891,69.87971035865372,2178.867919921875,2015-08-04 23:00:00,12.630100000000027,14.13050000000004,15.555630000000008,0.00062584877,0.117748975769996,5.127275442570022,16.643004316869007,1
7.5449,46.1905,27.018675406332157,2475.763671875,2011-06-04 00:00:00,9.593870000000038,6.898700000000019,7.473299999999995,0.12491643,0.2615600759999955,2.6312111889000023,21.419206120540007,1
12.8788,43.3166,28.83177826962662,420.50439453125,2011-03-02 00:00:00,0.5423200000000179,2.589960000000019,3.222560000000044,2.3050904,7.646992700000002,41.82013882,50.31819951073,1
6.699,43.9585,32.14389626164883,671.0216064453125,2014-02-08 11:10:00,0.1335000000000263,1.397580000000005,1.5791300000000206,0.4573687999999999,0.5829259834999835,6.685121040094032,33.789609648298004,1
8.1243,43.9266,30.515397210303977,22.822275161743164,2014-01-17 00:00:00,10.972340000000033,9.618280000000029,9.159750000000033,3.5975873,11.361405299999989,40.28205594498,47.514165125769,1
9.9381,44.0928,29.7190204644769,56.45413589477539,2010-10-31 23:00:00,15.425440000000036,14.267100000000028,13.835300000000018,2.0863265,6.776839499999976,74.6937394,77.6457667083636,1
